               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10883,            0.050125,                   0,             0.04282,             0.13895,            0.014993,           0.0026959,            0.092703,            0.035707,                   0,             0.00097,             0.00097,             0.09127
                   1,            0.085584,            0.055778,                   0,             0.20877,             0.27672,             0.13088,            0.035558,            0.072992,             0.03703,                   0,           0.0019457,           0.0019457,            0.082446
                   2,              0.0705,            0.053565,                   0,              0.2995,             0.38955,             0.25503,            0.068812,            0.064929,            0.032608,                   0,           0.0029044,           0.0029044,            0.073604
                   3,            0.065414,            0.052252,                   0,              0.4423,             0.41093,              0.3752,             0.13895,            0.056739,            0.032846,                   0,           0.0038335,           0.0038335,            0.064733
                   4,            0.061278,            0.051422,                   0,             0.53759,             0.50475,             0.49202,             0.18219,            0.052351,            0.029424,                   0,           0.0047209,           0.0047209,            0.055821
                   5,            0.061546,            0.049762,                   0,             0.47835,             0.50713,             0.47415,             0.19134,            0.052108,            0.028963,                   0,           0.0055554,           0.0055554,            0.046855
                   6,            0.058115,            0.049588,                   0,             0.55939,             0.53682,             0.53024,             0.21447,            0.048996,            0.028871,                   0,           0.0063267,           0.0063267,            0.037827
                   7,            0.056512,            0.049472,                   0,              0.5448,             0.53563,              0.5228,             0.20856,            0.050717,            0.029244,                   0,           0.0070255,           0.0070255,            0.028726
                   8,            0.055372,            0.049816,                   0,             0.57877,             0.42753,             0.46909,              0.1916,            0.052052,            0.029272,                   0,            0.007644,            0.007644,            0.019544
                   9,            0.055669,            0.050249,                   0,             0.57894,             0.49287,             0.50148,             0.21131,            0.052376,            0.029519,                   0,           0.0081758,           0.0081758,            0.010276
                  10,            0.053393,            0.050019,                   0,             0.61931,             0.48219,             0.53064,             0.23466,            0.047243,            0.029033,                   0,               0.008,               0.008,               0.008
                  11,            0.051817,            0.049684,                   0,             0.63345,             0.59739,             0.62883,             0.28685,            0.045212,            0.027471,                   0,               0.008,               0.008,               0.008
                  12,            0.050124,            0.048463,                   0,             0.56238,             0.66627,             0.63516,             0.28592,            0.043056,            0.027443,                   0,           0.0076269,           0.0076269,           0.0076269
                  13,            0.049946,            0.049206,                   0,             0.61203,              0.6734,             0.66613,             0.31149,            0.042628,            0.026745,                   0,           0.0072361,           0.0072361,           0.0072361
                  14,            0.048719,            0.049378,                   0,             0.62179,             0.70309,              0.6762,              0.3169,            0.042465,            0.026789,                   0,           0.0068316,           0.0068316,           0.0068316
                  15,            0.047245,             0.04833,                   0,             0.71225,             0.66033,             0.70924,             0.34714,            0.041244,            0.026269,                   0,           0.0064181,           0.0064181,           0.0064181
                  16,            0.046698,            0.046644,                   0,             0.63671,             0.68527,             0.67043,             0.31627,            0.040855,            0.027126,                   0,               0.006,               0.006,               0.006
                  17,            0.045506,            0.046732,                   0,              0.6644,             0.74299,             0.74634,             0.36059,            0.040165,            0.025743,                   0,           0.0055819,           0.0055819,           0.0055819
                  18,            0.045785,             0.04604,                   0,             0.66999,               0.692,             0.71265,              0.3521,            0.041267,            0.026141,                   0,           0.0051684,           0.0051684,           0.0051684
                  19,            0.044994,            0.047479,                   0,             0.72102,             0.76485,             0.79249,             0.40386,            0.037903,            0.024352,                   0,           0.0047639,           0.0047639,           0.0047639
                  20,            0.043149,            0.044385,                   0,             0.71828,             0.71971,             0.75385,             0.38852,            0.039307,            0.024923,                   0,           0.0043731,           0.0043731,           0.0043731
                  21,            0.043118,            0.044072,                   0,             0.78639,              0.7304,             0.80325,             0.42584,            0.037492,            0.023935,                   0,               0.004,               0.004,               0.004
                  22,            0.042489,            0.043217,                   0,             0.79256,              0.7714,             0.82253,             0.44327,            0.035761,            0.022794,                   0,           0.0036489,           0.0036489,           0.0036489
                  23,            0.041596,            0.043067,                   0,             0.77087,             0.82779,             0.83973,             0.45242,             0.03511,            0.022493,                   0,           0.0033235,           0.0033235,           0.0033235
                  24,            0.041533,            0.042183,                   0,             0.81572,             0.80523,             0.85881,             0.47469,            0.034244,            0.021908,                   0,           0.0030274,           0.0030274,           0.0030274
                  25,            0.040524,            0.042135,                   0,              0.8221,             0.79929,             0.86272,             0.47489,            0.034427,            0.022192,                   0,           0.0027639,           0.0027639,           0.0027639
                  26,            0.040657,            0.043344,                   0,             0.81556,             0.85075,             0.87969,             0.49615,            0.033295,            0.020956,                   0,           0.0025359,           0.0025359,           0.0025359
                  27,            0.039225,            0.040878,                   0,             0.82189,             0.85036,             0.88758,             0.50331,            0.033301,            0.020881,                   0,           0.0023458,           0.0023458,           0.0023458
                  28,            0.038886,            0.041081,                   0,             0.78017,             0.88092,             0.87236,             0.49801,            0.033074,            0.021108,                   0,           0.0021958,           0.0021958,           0.0021958
                  29,            0.038969,            0.041376,                   0,             0.84794,             0.86817,             0.89497,             0.52256,            0.031914,            0.020421,                   0,           0.0020874,           0.0020874,           0.0020874
